,positive adj count,negative adj count,sentiment
0,6,5,1
1,4,0,1
2,8,1,1
3,0,1,0
4,9,1,1
5,4,2,1
6,1,0,1
7,5,6,0
8,3,5,0
9,0,0,1
10,3,3,0
11,3,2,0
12,7,3,0
13,1,0,0
14,3,1,1
15,1,6,0
16,2,2,1
17,1,2,0
18,0,2,1
19,4,2,0
20,5,6,1
21,4,12,0
22,1,0,1
23,3,12,0
24,3,3,0
25,8,3,1
26,13,6,1
27,3,3,0
28,3,3,0
29,8,16,1
30,3,7,1
31,7,6,1
32,2,3,0
33,10,8,1
34,7,8,0
35,6,3,0
36,0,3,0
37,5,6,0
38,4,1,1
39,1,5,0
40,4,2,0
41,9,1,1
42,1,3,0
43,3,5,0
44,1,0,1
45,7,1,1
46,2,2,0
47,1,0,0
48,7,3,1
49,4,5,0
50,6,4,1
51,8,4,1
52,1,2,1
53,1,0,1
54,1,1,0
55,4,5,0
56,3,1,0
57,2,3,0
58,14,6,1
59,9,3,1
60,5,3,0
61,2,3,0
62,2,0,1
63,0,3,0
64,6,4,0
65,6,2,1
66,9,8,0
67,3,2,0
68,2,2,0
69,3,1,0
70,4,6,0
71,6,4,0
72,2,3,1
73,4,0,1
74,4,1,0
75,3,1,1
76,2,4,1
77,6,14,0
78,2,2,0
79,3,3,1
80,4,2,1
81,1,3,0
82,5,8,0
83,7,16,0
84,0,6,0
85,2,7,0
86,9,3,0
87,0,2,0
88,2,4,0
89,5,6,0
90,2,0,1
91,2,4,0
92,11,0,1
93,7,0,1
94,3,0,0
95,5,4,1
96,7,5,0
97,3,7,0
98,0,4,0
99,11,5,1
100,3,2,1
101,9,8,0
102,6,3,1
103,6,16,1
104,3,2,0
105,9,4,1
106,2,0,1
107,3,14,0
108,1,3,1
109,4,1,1
110,0,2,0
111,3,4,0
112,1,3,0
113,3,0,1
114,7,4,1
115,5,2,1
116,5,3,1
117,1,4,0
118,0,2,0
119,3,3,0
120,0,0,1
121,7,2,1
122,3,3,0
123,2,1,0
124,0,2,1
125,6,4,0
126,8,9,0
127,0,3,0
128,9,1,1
129,1,1,1
130,4,1,1
131,6,5,1
132,1,0,0
133,0,2,0
134,2,2,0
135,11,5,0
136,0,1,1
137,4,4,0
138,9,1,1
139,3,2,0
140,4,4,0
141,2,10,0
142,5,8,0
143,1,0,1
144,5,4,0
145,9,2,1
146,5,2,1
147,9,3,1
148,2,2,0
149,4,7,0
150,4,0,1
151,3,2,0
152,2,5,0
153,5,5,1
154,0,5,0
155,0,2,0
156,11,16,0
157,7,2,1
158,8,0,0
159,6,3,1
160,5,3,1
161,4,7,0
